ID,Nombre,Descripción,Número de Serie,ID Personalizado de Activo,Categoría Principal,Subcategoría,Uso Específico,Parque,Amenidad,Descripción de Ubicación,Latitud,Longitud,Fabricante,Modelo,Número de Serie Técnico,Material,Dimensiones/Capacidad,Fecha de Instalación,Fecha de Última Inspección,Vida Útil Estimada (años),Estado,Condición,Historial de Mantenimiento,Fecha de Adquisición,Costo de Adquisición (MXN),Valor Actual (MXN),Fuente de Financiamiento,Persona Responsable,Área Asignada,URL Manual de Mantenimiento,Políticas de Uso,Frecuencia de Mantenimiento,Fecha de Último Mantenimiento,Fecha de Próximo Mantenimiento,Vida Útil Esperada (meses),Código QR,Notas Adicionales,Fecha de Creación,Última Actualización
123509,Estación de trabajo,Estación de trabajo espacio organizado para personal.,6596,,Edificaciones de servicio,Operativas,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,CityInfra,GreenLife,SN-92843,Plástico,84 m²,13/08/23,08/07/22,15,En Mantenimiento,Excelente,,02/09/16,435027,333160,Presupuesto municipal,Juan Pérez,Operación,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,14/09/24,13/03/25,12,,Revisión anual obligatoria.,28/09/20,09/09/25 23:20
123510,Pizarra blanca,Pizarra blanca superficie para anotaciones borrables.,6597,,Edificaciones de servicio,Operativas,,Parque Ecológico Explora,,,21.1215,-101.682,CityInfra,ProLine,SN-76365,Mixto,193 m²,27/12/23,30/04/24,5,Dañado,Regular,,07/06/20,82248,41673,Ingreso propio,Ana Torres,Operación,http://manuales.parques.org/mantenimientoX.pdf,Uso exclusivo dentro del parque.,,11/04/22,06/04/23,120,,Revisión anual obligatoria.,06/04/19,09/09/25 23:20
123511,Estante de documentos,Estante de documentos estructura para almacenar carpetas.,6598,,Edificaciones de servicio,Operativas,,Parque Fundidora,,,25.675,-100.286,UrbanPlay,UrbanMax,SN-60978,Madera,125 m²,28/01/18,01/09/25,15,Retirado,Malo,,03/07/22,123781,78462,Patrocinio,Luis Romero,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,03/01/24,28/12/24,60,,Revisión anual obligatoria.,12/03/16,09/09/25 23:20
123512,Teléfono IP,Teléfono IP aparato de comunicación digital.,6599,,Edificaciones de servicio,Operativas,,Bosque de Chapultepec,,,19.4204,-99.1819,PlayTech,ProLine,SN-34401,Mixto,66 m²,16/10/19,18/12/25,15,Activo,Bueno,,06/09/19,54261,48256,Patrocinio,Carlos Sánchez,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,31/07/24,26/07/25,12,,Activo en óptimas condiciones.,07/12/20,09/09/25 23:20
123513,Cafetera institucional,Cafetera institucional máquina para preparar café.,6600,,Edificaciones de servicio,Operativas,,Parque Tangamanga I,,,22.144,-101.019,GreenBuild,HydroX,SN-61362,Plástico,48 m²,10/02/23,09/01/25,5,En Mantenimiento,Excelente,,07/01/15,242101,137256,Ingreso propio,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,09/01/21,08/07/21,24,,Plan de mejora programado.,12/02/19,09/09/25 23:20
123514,Sistema de videoconferencia,Sistema de videoconferencia tecnología para reuniones virtuales.,6601,,Edificaciones de servicio,Operativas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,AquaSolutions,UrbanMax,SN-92792,Plástico,177 m²,28/02/24,16/08/22,5,Dañado,Regular,,17/05/22,316065,112783,Presupuesto municipal,Juan Pérez,Eventos,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,13/05/20,08/05/21,120,,Revisión anual obligatoria.,28/04/16,09/09/25 23:20
123515,Reloj checador,Reloj checador dispositivo para control de asistencia.,6602,,Edificaciones de servicio,Operativas,,Parque Bicentenario,,,19.478,-99.198,AquaSolutions,EcoFlex,SN-88147,Plástico,159 m²,04/05/21,25/09/24,15,Retirado,Malo,,06/01/15,432449,165880,Patrocinio,Luis Romero,Jardinería,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,14/10/21,09/10/22,24,,Activo en óptimas condiciones.,04/10/16,09/09/25 23:20
123516,Podadora manual,Podadora manual herramienta de corte de césped.,6603,,Vehículos y maquinaria,Maquinaria,,Parque La Mexicana,,,19.36,-99.28,EcoPark Systems,EcoFlex,SN-37778,Acero,81 m²,06/09/20,04/06/23,20,Activo,Bueno,,11/02/18,136897,116088,Ingreso propio,Juan Pérez,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,01/01/24,24/06/25,60,,Requiere inspección adicional en temporada de lluvias.,10/11/18,09/09/25 23:20
123517,Motosierra eléctrica,Motosierra eléctrica equipo para poda de árboles.,6604,,Vehículos y maquinaria,Maquinaria,,Parque Rufino Tamayo,,,25.65,-100.36,CityInfra,SafePlay,SN-96367,Madera,196 m²,07/08/23,12/10/22,25,En Mantenimiento,Excelente,,07/10/16,411784,298629,Donación,Luis Romero,Mantenimiento,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,13/12/23,10/06/24,120,,Revisión anual obligatoria.,02/06/16,09/09/25 23:20
123518,Sopladora de hojas,Sopladora de hojas aparato para limpiar superficies.,6605,,Vehículos y maquinaria,Maquinaria,,Parque Central Ciudad Juárez,,,20.99,-89.63,CityInfra,SafePlay,SN-87455,Mixto,186 m²,11/12/19,01/04/22,15,Dañado,Regular,,15/06/17,374724,145243,Ingreso propio,Sofía Vargas,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,26/09/21,25/03/22,60,,Revisión anual obligatoria.,24/07/18,09/09/25 23:20
123519,Desbrozadora,Desbrozadora máquina para eliminar maleza.,6606,,Vehículos y maquinaria,Maquinaria,,Parque Guanajuato Bicentenario,,,21.02,-89.65,CityInfra,SafePlay,SN-25413,Plástico,35 m²,29/10/24,06/04/24,15,Retirado,Malo,,19/10/20,212743,144137,Concesión,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,25/07/21,21/01/22,12,,Pendiente de reposición de piezas menores.,01/10/19,09/09/25 23:20
123520,Pala cuadrada,Pala cuadrada herramienta básica de excavación.,6607,,Vehículos y maquinaria,Maquinaria,,Parque el Capitán,,,25.66521872,-100.360811,GreenBuild,UrbanMax,SN-75387,Mixto,58 m²,14/07/19,18/03/25,25,Activo,Bueno,,03/12/18,242376,130747,Concesión,Ana Torres,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,29/09/23,23/09/24,60,,Activo en óptimas condiciones.,11/09/15,09/09/25 23:20
123521,Rastrillo metálico,Rastrillo metálico utensilio para juntar hojas.,6608,,Vehículos y maquinaria,Maquinaria,,Parque Metropolitano de León,,,31.72,-106.43,UrbanPlay,X100,SN-52651,Acero,113 m²,19/02/25,25/06/25,20,En Mantenimiento,Excelente,,13/12/20,250599,158977,Concesión,María López,Eventos,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,10/06/20,07/12/20,24,,Activo en óptimas condiciones.,23/12/19,09/09/25 23:20
123522,Carretilla,Carretilla vehículo manual para transportar cargas.,6609,,Vehículos y maquinaria,Maquinaria,,Gran Parque La Plancha,,,20.97844437,-89.61172739,EcoPark Systems,X100,SN-55931,Madera,168 m²,30/05/18,04/08/23,25,Dañado,Regular,,17/05/22,181165,134052,Ingreso propio,María López,Mantenimiento,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,13/04/21,10/10/21,24,,Requiere inspección adicional en temporada de lluvias.,16/02/19,09/09/25 23:20
123523,Martillo neumático,Martillo neumático herramienta de demolición de concreto.,6610,,Vehículos y maquinaria,Maquinaria,,Bosque Los Colomos,,,20.70504496,-103.3902293,GreenBuild,X100,SN-14195,Acero,155 m²,22/07/22,14/10/23,25,Retirado,Malo,,06/10/18,486327,242854,Patrocinio,María López,Administración,http://manuales.parques.org/mantenimientoX.pdf,Uso comunitario con previa reservación.,,21/03/20,17/09/20,24,,Pendiente de reposición de piezas menores.,04/03/16,09/09/25 23:20
123524,Juego de llaves,Juego de llaves conjunto de herramientas mecánicas.,6611,,Vehículos y maquinaria,Maquinaria,,Parque Las Ribieras ,,,24.82111084,-107.4005941,GreenBuild,HydroX,SN-43900,Mixto,191 m²,25/08/24,27/02/22,20,Activo,Bueno,,20/09/21,286659,147523,Presupuesto municipal,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,23/06/20,15/12/21,24,,Pendiente de reposición de piezas menores.,10/11/18,09/09/25 23:20
123525,Escalera extensible,Escalera extensible estructura para alcanzar alturas.,6612,,Vehículos y maquinaria,Maquinaria,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,UrbanPlay,ProLine,SN-19769,Acero,142 m²,12/08/18,05/02/25,15,En Mantenimiento,Excelente,,19/10/22,184884,114041,Patrocinio,Juan Pérez,Administración,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,06/11/20,05/05/21,12,,Activo en óptimas condiciones.,15/04/16,09/09/25 23:20
123526,Bolardo solar,Bolardo solar poste iluminado con energía solar.,6613,,Infraestructura básica,Caminos y veredas,,Parque Flor del Bosque,,,19.0211,-98.1011,CityInfra,EcoFlex,SN-55366,Acero,53 m²,23/02/24,20/01/22,10,Dañado,Regular,,21/07/19,486176,372418,Concesión,Ana Torres,Operación,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,04/03/20,27/02/21,36,,Activo en óptimas condiciones.,27/05/18,09/09/25 23:20
123527,Bolardo LED,Bolardo LED bolardo urbano con luz LED.,6614,,Infraestructura básica,Caminos y veredas,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,GreenBuild,EcoFlex,SN-26256,Mixto,74 m²,20/08/20,10/07/24,15,Retirado,Malo,,27/01/22,184065,124397,Ingreso propio,Ana Torres,Seguridad,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,06/12/23,30/11/24,120,,Activo en óptimas condiciones.,15/10/15,09/09/25 23:20
123528,Bolardo antivandálico,Bolardo antivandálico poste reforzado contra daños.,6615,,Infraestructura básica,Caminos y veredas,,Parque Ecológico Explora,,,21.1215,-101.682,PlayTech,EcoFlex,SN-78545,Plástico,168 m²,10/10/18,07/04/25,5,Activo,Bueno,,17/09/20,235042,162119,Presupuesto municipal,Juan Pérez,Operación,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,06/04/23,31/03/24,12,,Requiere inspección adicional en temporada de lluvias.,29/06/16,09/09/25 23:20
123529,Bolardo decorativo,Bolardo decorativo elemento urbano con luz cálida.,6616,,Infraestructura básica,Caminos y veredas,,Parque Fundidora,,,25.675,-100.286,EcoPark Systems,GreenLife,SN-16207,Mixto,19 m²,15/09/23,28/01/22,25,En Mantenimiento,Excelente,,02/07/19,492978,257715,Presupuesto municipal,Sofía Vargas,Seguridad,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,27/11/22,20/05/24,120,,Pendiente de reposición de piezas menores.,10/09/19,09/09/25 23:20
123530,Bolardo fotovoltaico,Bolardo fotovoltaico bolardo con panel solar.,6617,,Infraestructura básica,Caminos y veredas,,Bosque de Chapultepec,,,19.4204,-99.1819,EcoPark Systems,X100,SN-59607,Plástico,200 m²,26/01/22,01/04/25,25,Dañado,Regular,,31/08/15,355708,212044,Concesión,Carlos Sánchez,Operación,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,27/09/23,21/09/24,36,,Requiere inspección adicional en temporada de lluvias.,08/11/15,09/09/25 23:20
123531,Camino empedrado,Camino empedrado sendero de piedra para peatones.,6618,,Infraestructura básica,Caminos y veredas,,Parque Tangamanga I,,,22.144,-101.019,UrbanPlay,SafePlay,SN-58850,Acero,68 m²,17/12/25,04/11/24,25,Retirado,Malo,,12/08/18,283619,209230,Patrocinio,Sofía Vargas,Operación,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,29/09/20,24/09/21,60,,Plan de mejora programado.,08/06/19,09/09/25 23:20
123532,Sendero compactado,Sendero compactado ruta de tierra apisonada.,6619,,Infraestructura básica,Caminos y veredas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,SafeCity,UrbanMax,SN-94324,Acero,134 m²,25/10/23,01/03/23,20,Activo,Bueno,,01/08/16,214688,190824,Donación,Sofía Vargas,Eventos,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,23/03/22,19/09/22,24,,Activo en óptimas condiciones.,15/02/19,09/09/25 23:20
123533,Vereda de grava,Vereda de grava camino de grava sencilla.,6620,,Infraestructura básica,Caminos y veredas,,Parque Bicentenario,,,19.478,-99.198,CityInfra,SafePlay,SN-74654,Acero,41 m²,14/09/21,07/02/25,10,En Mantenimiento,Excelente,,22/09/21,70941,37621,Donación,Luis Romero,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,25/02/20,19/02/21,24,,Activo en óptimas condiciones.,16/01/15,09/09/25 23:20
123534,Andador de concreto,Andador de concreto pasillo pavimentado para caminar.,6621,,Infraestructura básica,Caminos y veredas,,Parque La Mexicana,,,19.36,-99.28,GreenBuild,SafePlay,SN-42157,Plástico,132 m²,14/06/24,08/08/23,20,Dañado,Regular,,27/01/17,354710,264549,Patrocinio,Luis Romero,Seguridad,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,10/01/24,03/07/25,12,,Activo en óptimas condiciones.,16/03/16,09/09/25 23:20
123535,Pista de jogging,Pista de jogging superficie sintética para correr.,6622,,Áreas deportivas,Pistas,,Parque Rufino Tamayo,,,25.65,-100.36,EcoPark Systems,ProLine,SN-11488,Plástico,101 m²,18/11/21,05/12/24,10,Retirado,Malo,,16/02/17,166406,82950,Ingreso propio,Carlos Sánchez,Operación,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,08/01/23,07/07/23,24,,Plan de mejora programado.,17/03/18,09/09/25 23:20
123536,Kiosco central,Kiosco central estructura techada de reunión social.,6623,,Mobiliario urbano,Complementos,,Parque Central Ciudad Juárez,,,20.99,-89.63,GreenBuild,HydroX,SN-28549,Madera,148 m²,27/06/19,07/03/24,15,Activo,Bueno,,06/01/20,365201,182534,Ingreso propio,María López,Seguridad,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,30/05/21,26/11/21,24,,Pendiente de reposición de piezas menores.,26/10/16,09/09/25 23:20
123537,Quiosco de música,Quiosco de música pabellón para conciertos comunitarios.,6624,,Mobiliario urbano,Complementos,,Parque Guanajuato Bicentenario,,,21.02,-89.65,EcoPark Systems,ProLine,SN-73619,Mixto,58 m²,11/03/21,26/08/22,15,En Mantenimiento,Excelente,,07/01/16,253506,158412,Patrocinio,Ana Torres,Eventos,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,03/07/20,28/06/21,36,,Requiere inspección adicional en temporada de lluvias.,08/12/20,09/09/25 23:20
123538,Cafetería,Cafetería local pequeño de alimentos.,6625,,Concesiones y servicios,Alimentos y bebidas,,Parque el Capitán,,,25.66521872,-100.360811,AquaSolutions,HydroX,SN-85954,Plástico,73 m²,23/04/25,23/10/24,15,Dañado,Regular,,11/07/15,139015,87321,Patrocinio,Carlos Sánchez,Jardinería,http://manuales.parques.org/mobiliario.pdf,Restringido en horarios nocturnos.,,07/02/24,05/08/24,12,,Requiere inspección adicional en temporada de lluvias.,16/11/20,09/09/25 23:20
123539,Módulo de información,Módulo de información punto de atención al visitante.,6626,,Edificaciones de servicio,Operativas,,Parque Metropolitano de León,,,31.72,-106.43,CityInfra,HydroX,SN-71542,Plástico,40 m²,21/02/21,21/05/23,20,Retirado,Malo,,18/12/16,483917,163679,Ingreso propio,Luis Romero,Administración,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,10/11/24,09/05/25,12,,Activo en óptimas condiciones.,28/04/20,09/09/25 23:20
123540,Almacén de materiales,Almacén de materiales espacio de almacenamiento general.,6627,,Edificaciones de servicio,Operativas,,Gran Parque La Plancha,,,20.97844437,-89.61172739,SafeCity,ProLine,SN-82554,Acero,123 m²,17/07/18,28/06/25,20,Activo,Bueno,,17/05/20,157901,111668,Presupuesto municipal,Carlos Sánchez,Seguridad,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,02/09/21,24/02/23,36,,Requiere inspección adicional en temporada de lluvias.,10/07/16,09/09/25 23:20
123541,Puente peatonal,Puente peatonal paso elevado exclusivo para peatones.,6628,,Infraestructura básica,Puentes y accesos,,Bosque Los Colomos,,,20.70504496,-103.3902293,CityInfra,UrbanMax,SN-53637,Madera,34 m²,22/03/25,08/07/22,25,En Mantenimiento,Excelente,,22/10/20,350095,129791,Donación,Sofía Vargas,Eventos,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,19/09/21,18/03/22,12,,Activo en óptimas condiciones.,26/11/18,09/09/25 23:20
123542,Puente vehicular,Puente vehicular estructura para tránsito de vehículos.,6629,,Infraestructura básica,Puentes y accesos,,Parque Las Ribieras ,,,24.82111084,-107.4005941,UrbanPlay,HydroX,SN-89047,Acero,32 m²,24/09/23,19/08/25,20,Dañado,Regular,,09/11/16,367141,265373,Concesión,Juan Pérez,Seguridad,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,27/10/24,25/04/25,12,,Requiere inspección adicional en temporada de lluvias.,30/08/19,09/09/25 23:20
123543,Paso elevado,Paso elevado pasarela sobre desnivel.,6630,,Infraestructura básica,Puentes y accesos,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,AquaSolutions,EcoFlex,SN-33104,Plástico,85 m²,23/11/18,13/04/25,15,Retirado,Malo,,03/09/20,229930,133538,Presupuesto municipal,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,17/09/24,16/03/25,24,,Activo en óptimas condiciones.,03/05/18,09/09/25 23:20
123544,Pasarela metálica,Pasarela metálica estructura ligera de conexión.,6631,,Infraestructura básica,Puentes y accesos,,Parque Flor del Bosque,,,19.0211,-98.1011,EcoPark Systems,GreenLife,SN-17431,Acero,108 m²,24/03/19,21/10/22,15,Activo,Bueno,,03/06/21,180365,59046,Donación,Sofía Vargas,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,24/12/23,21/06/24,24,,Revisión anual obligatoria.,28/03/20,09/09/25 23:20
123545,Puente colgante,Puente colgante puente suspendido para peatones.,6632,,Infraestructura básica,Puentes y accesos,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,PlayTech,HydroX,SN-73246,Plástico,115 m²,09/03/22,23/07/24,15,En Mantenimiento,Excelente,,25/07/21,207974,144146,Patrocinio,Carlos Sánchez,Administración,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,09/04/22,04/04/23,120,,Plan de mejora programado.,01/08/17,09/09/25 23:20
123546,Resbaladilla doble,Resbaladilla doble juego infantil de deslizamiento.,6633,,Áreas deportivas,Pistas,,Parque Ecológico Explora,,,21.1215,-101.682,EcoPark Systems,HydroX,SN-52978,Madera,55 m²,08/11/25,10/07/25,10,Dañado,Regular,,14/03/16,294919,136595,Concesión,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,01/11/21,27/10/22,36,,Pendiente de reposición de piezas menores.,02/04/15,09/09/25 23:20
123547,Columpios inclusivos,Columpios inclusivos asientos adaptados para todos.,6634,,Áreas recreativas y de juego,Juegos infantiles,,Parque Fundidora,,,25.675,-100.286,UrbanPlay,SafePlay,SN-99465,Mixto,166 m²,08/01/22,10/02/24,20,Retirado,Malo,,28/03/19,276018,94713,Ingreso propio,Sofía Vargas,Eventos,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,29/04/23,23/04/24,36,,Activo en óptimas condiciones.,29/10/16,09/09/25 23:20
123548,Sube y baja,Sube y baja juego clásico de balance.,6635,,Áreas recreativas y de juego,Juegos infantiles,,Bosque de Chapultepec,,,19.4204,-99.1819,GreenBuild,UrbanMax,SN-23758,Madera,162 m²,02/08/18,11/11/24,5,Activo,Bueno,,11/01/22,330387,270308,Concesión,Ana Torres,Operación,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,19/09/20,13/03/22,60,,Requiere inspección adicional en temporada de lluvias.,30/04/19,09/09/25 23:20
123549,Trepador de cuerdas,Trepador de cuerdas estructura para escalar.,6636,,Áreas recreativas y de juego,Juegos infantiles,,Parque Tangamanga I,,,22.144,-101.019,GreenBuild,UrbanMax,SN-30436,Acero,138 m²,26/11/25,08/07/24,15,En Mantenimiento,Excelente,,03/07/15,323570,234618,Patrocinio,Juan Pérez,Eventos,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,25/03/23,15/09/24,12,,Pendiente de reposición de piezas menores.,28/02/20,09/09/25 23:20
123550,Torre de escalada,Torre de escalada módulo infantil vertical.,6637,,Áreas recreativas y de juego,Juegos infantiles,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,CityInfra,HydroX,SN-82260,Madera,124 m²,13/08/22,01/10/23,15,Dañado,Regular,,15/11/16,289348,241762,Ingreso propio,María López,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,04/12/23,27/05/25,60,,Pendiente de reposición de piezas menores.,13/12/17,09/09/25 23:20
123551,Paneles sensoriales,Paneles sensoriales tableros interactivos para niños.,6638,,Áreas recreativas y de juego,Áreas inclusivas,,Parque Bicentenario,,,19.478,-99.198,AquaSolutions,UrbanMax,SN-15388,Acero,151 m²,11/04/19,15/06/22,25,Retirado,Malo,,14/03/21,384433,320957,Concesión,María López,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,07/08/21,02/08/22,24,,Requiere inspección adicional en temporada de lluvias.,14/02/15,09/09/25 23:20
123552,Carrusel,Carrusel juego giratorio para recreación.,6639,,Áreas recreativas y de juego,Juegos infantiles,,Parque La Mexicana,,,19.36,-99.28,UrbanPlay,EcoFlex,SN-56173,Mixto,168 m²,12/08/24,24/05/23,20,Activo,Bueno,,16/07/17,427111,319768,Ingreso propio,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Uso exclusivo dentro del parque.,,18/03/20,09/09/21,12,,Requiere inspección adicional en temporada de lluvias.,03/11/15,09/09/25 23:20
123553,Juego modular,Juego modular estructura infantil combinada.,6640,,Áreas recreativas y de juego,Juegos infantiles,,Parque Rufino Tamayo,,,25.65,-100.36,GreenBuild,ProLine,SN-83224,Acero,41 m²,08/10/23,02/06/23,10,En Mantenimiento,Excelente,,28/01/20,487112,357488,Patrocinio,Carlos Sánchez,Seguridad,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,31/03/20,22/09/21,24,,Activo en óptimas condiciones.,26/12/19,09/09/25 23:20
123554,Resorte de caballito,Resorte de caballito juguete de balanceo.,6641,,Áreas recreativas y de juego,Juegos infantiles,,Parque Central Ciudad Juárez,,,20.99,-89.63,CityInfra,SafePlay,SN-42150,Acero,21 m²,13/04/20,25/08/25,20,Dañado,Regular,,05/01/22,74135,36195,Presupuesto municipal,Carlos Sánchez,Administración,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,01/03/21,23/08/22,60,,Activo en óptimas condiciones.,13/11/16,09/09/25 23:20
123555,Red de escalar,Red de escalar malla de cuerdas para trepar.,6642,,Áreas recreativas y de juego,Juegos infantiles,,Parque Guanajuato Bicentenario,,,21.02,-89.65,PlayTech,GreenLife,SN-37855,Plástico,200 m²,15/07/20,28/04/25,10,Retirado,Malo,,19/09/18,149796,123317,Concesión,Ana Torres,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Uso comunitario con previa reservación.,,11/01/22,05/07/23,120,,Pendiente de reposición de piezas menores.,03/11/16,09/09/25 23:20
123556,Tractor cortacésped,Tractor cortacésped maquinaria para cortar césped.,6643,,Vehículos y maquinaria,Vehículos de trabajo,,Parque el Capitán,,,25.66521872,-100.360811,EcoPark Systems,HydroX,SN-15811,Mixto,133 m²,05/01/20,18/02/24,5,Activo,Bueno,,14/06/17,206452,63030,Patrocinio,Luis Romero,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,26/05/23,22/11/23,24,,Revisión anual obligatoria.,04/12/15,09/09/25 23:20
123557,Vehículo utilitario eléctrico,Vehículo utilitario eléctrico transporte para personal.,6644,,Vehículos y maquinaria,Vehículos de trabajo,,Parque Metropolitano de León,,,31.72,-106.43,GreenBuild,X100,SN-47099,Plástico,5 m²,23/07/20,17/08/24,10,En Mantenimiento,Excelente,,17/06/20,202310,75082,Donación,Juan Pérez,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,15/09/24,14/03/25,36,,Requiere inspección adicional en temporada de lluvias.,30/06/16,09/09/25 23:20
123558,Retroexcavadora pequeña,Retroexcavadora pequeña máquina para excavaciones menores.,6645,,Vehículos y maquinaria,Maquinaria,,Gran Parque La Plancha,,,20.97844437,-89.61172739,GreenBuild,EcoFlex,SN-68368,Madera,96 m²,08/06/21,06/08/23,5,Dañado,Regular,,25/01/20,351936,248788,Patrocinio,María López,Seguridad,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,17/02/22,11/08/23,12,,Activo en óptimas condiciones.,12/12/17,09/09/25 23:20
123559,Carro de arrastre,Carro de arrastre remolque para transportar materiales.,6646,,Vehículos y maquinaria,Vehículos de trabajo,,Bosque Los Colomos,,,20.70504496,-103.3902293,SafeCity,GreenLife,SN-68256,Acero,36 m²,25/11/19,14/04/24,5,Retirado,Malo,,03/09/17,114007,102442,Concesión,Sofía Vargas,Operación,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,01/07/23,28/12/23,60,,Plan de mejora programado.,27/05/19,09/09/25 23:20
123560,Camión de volteo,Camión de volteo vehículo para carga pesada.,6647,,Vehículos y maquinaria,Vehículos de trabajo,,Parque Las Ribieras ,,,24.82111084,-107.4005941,AquaSolutions,GreenLife,SN-56863,Acero,25 m²,08/03/21,13/05/25,5,Activo,Bueno,,24/07/21,216971,185563,Presupuesto municipal,Carlos Sánchez,Seguridad,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,14/08/22,09/08/23,12,,Revisión anual obligatoria.,10/01/16,09/09/25 23:20
123561,Barredora mecánica,Barredora mecánica equipo para limpieza vial.,6648,,Vehículos y maquinaria,Maquinaria,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,UrbanPlay,GreenLife,SN-79235,Plástico,134 m²,26/10/22,17/12/22,25,En Mantenimiento,Excelente,,04/05/21,115318,49926,Ingreso propio,María López,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,27/05/20,18/11/21,60,,Plan de mejora programado.,25/10/20,09/09/25 23:20
123562,Mini cargador,Mini cargador maquinaria compacta de obra.,6649,,Vehículos y maquinaria,Maquinaria,,Parque Flor del Bosque,,,19.0211,-98.1011,PlayTech,GreenLife,SN-37922,Acero,80 m²,08/06/23,07/05/25,10,Dañado,Regular,,18/01/21,277208,243801,Patrocinio,Luis Romero,Eventos,http://manuales.parques.org/mobiliario.pdf,Restringido en horarios nocturnos.,,04/02/22,03/08/22,36,,Activo en óptimas condiciones.,16/11/17,09/09/25 23:20
